Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Demo Suite,Firefox 56.0,,2018-11-16 03:14:58,2018-11-16 03:16:30,1m - 32.677s,PASSED
,,,,,,
Test Cases/Alert,Firefox 56.0,,2018-11-16 03:14:58,2018-11-16 03:15:24,25.685s,PASSED
openBrowser,Firefox 56.0,,2018-11-16 03:14:59,2018-11-16 03:15:05,6.113s,PASSED
navigateToUrl,Firefox 56.0,1. Go to Alert Demo Screen,2018-11-16 03:15:05,2018-11-16 03:15:07,2.574s,PASSED
waitForElementVisible,Firefox 56.0,,2018-11-16 03:15:07,2018-11-16 03:15:07,0.120s,PASSED
maximizeWindow,Firefox 56.0,,2018-11-16 03:15:07,2018-11-16 03:15:07,0.025s,PASSED
delay,Firefox 56.0,,2018-11-16 03:15:07,2018-11-16 03:15:09,2.049s,PASSED
click,Firefox 56.0,2. Click on the second [Click me!] button,2018-11-16 03:15:09,2018-11-16 03:15:10,0.181s,PASSED
delay,Firefox 56.0,,2018-11-16 03:15:10,2018-11-16 03:15:12,2.001s,PASSED
Statement - driver = com.kms.katalon.core.webui.driver.DriverFactory.getWebDriver(),Firefox 56.0,3.1. Option2 - Getting the text from the alert and storing it in Variable,2018-11-16 03:15:12,2018-11-16 03:15:12,0.031s,PASSED
Statement - alertText = driver.switchTo().alert().getText(),Firefox 56.0,,2018-11-16 03:15:12,2018-11-16 03:15:12,0.036s,PASSED
verifyMatch,Firefox 56.0,3.2. Verify Alert Text,2018-11-16 03:15:12,2018-11-16 03:15:12,0.016s,PASSED
acceptAlert,Firefox 56.0,4. Click on [OK] from Alert,2018-11-16 03:15:12,2018-11-16 03:15:12,0.065s,PASSED
verifyElementText,Firefox 56.0,5. Verify you clicked on [OK],2018-11-16 03:15:12,2018-11-16 03:15:12,0.054s,PASSED
delay,Firefox 56.0,,2018-11-16 03:15:12,2018-11-16 03:15:15,3.001s,PASSED
click,Firefox 56.0,6. Click on the second [Click me!] button,2018-11-16 03:15:15,2018-11-16 03:15:15,0.120s,PASSED
delay,Firefox 56.0,,2018-11-16 03:15:15,2018-11-16 03:15:17,2.001s,PASSED
dismissAlert,Firefox 56.0,7. Click on [Cancel] from Alert,2018-11-16 03:15:17,2018-11-16 03:15:17,0.096s,PASSED
